https://link.springer.com/article/10.1007/BF00365439	Text for doc number 55 of Professor Lui Sha goes here
https://pdfs.semanticscholar.org/7a88/91b40715f2037cdc9f0c6bd75e9676532fb1.pdf	Text for doc number 56 of Professor Lui Sha goes here
https://www.inderscienceonline.com/doi/abs/10.1504/IJWMC.2006.012553	Text for doc number 57 of Professor Lui Sha goes here
http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.85.5617&rep=rep1&type=pdf	Text for doc number 58 of Professor Lui Sha goes here
http://ieeexplore.ieee.org/abstract/document/6979483/	Text for doc number 59 of Professor Lui Sha goes here
http://ieeexplore.ieee.org/abstract/document/1559927/	Text for doc number 60 of Professor Lui Sha goes here
http://ieeexplore.ieee.org/abstract/document/914701/	Text for doc number 61 of Professor Lui Sha goes here
http://www.ideals.illinois.edu/handle/2142/29503	Text for doc number 62 of Professor Lui Sha goes here
ftp://192.58.107.24/pub/prp/models/zeves-2.3/~/pub/Simplex/model_voting.ps	Text for doc number 63 of Professor Lui Sha goes here
http://ieeexplore.ieee.org/abstract/document/51120/	Text for doc number 64 of Professor Lui Sha goes here
http://ieeexplore.ieee.org/abstract/document/7883295/	Text for doc number 65 of Professor Lui Sha goes here
https://www.ideals.illinois.edu/handle/2142/33777	Text for doc number 66 of Professor Lui Sha goes here
https://dl.acm.org/citation.cfm?id=44210	Text for doc number 67 of Professor Lui Sha goes here
https://dl.acm.org/citation.cfm?id=2485603	Text for doc number 68 of Professor Lui Sha goes here
https://www.ideals.illinois.edu/handle/2142/35279	Text for doc number 69 of Professor Lui Sha goes here
https://dl.acm.org/citation.cfm?id=59371	Text for doc number 70 of Professor Lui Sha goes here
https://dl.acm.org/citation.cfm?id=1795201	Text for doc number 71 of Professor Lui Sha goes here
http://www.ideals.illinois.edu/handle/2142/24171	Text for doc number 72 of Professor Lui Sha goes here
http://ieeexplore.ieee.org/abstract/document/516203/	Text for doc number 73 of Professor Lui Sha goes here
http://ieeexplore.ieee.org/abstract/document/4358253/	Text for doc number 74 of Professor Lui Sha goes here
https://arxiv.org/abs/1104.2110	Text for doc number 75 of Professor Lui Sha goes here
https://link.springer.com/chapter/10.1007/978-1-4615-3956-8_5	Text for doc number 76 of Professor Lui Sha goes here
